Name,Date of Birth,Married,Phone,Salary
Dennis Hendricks,1971-05-12,False,001-019-932-7088x445,75560.67
Douglas Anderson,1999-11-05,False,+1-374-932-5448x74021,90973.45
Michael Kelly,1992-07-26,True,(588)948-6360,111427.24
Karen Andrews,1971-12-06,False,567-593-6237x72637,105518.94
Miss Patricia Ryan,1988-04-16,True,(333)338-3904x3443,59073.64
Marcia Gutierrez,1991-10-01,False,263-142-8237x60643,31054.62
Deborah Gray,1970-12-10,True,228-297-7709x0343,33185.29
Mr. Anthony Henson,1998-06-14,False,2404147950,113125.98
Janet Burton,1959-08-04,True,570-140-6742,35961.9
David Thompson,1976-04-07,False,+1-929-010-7917x722,78758.46
Melanie Nunez,2005-08-24,False,109-149-3754x0230,98766.98
Russell Martin,2002-11-05,True,880.019.7943,54543.73
Kenneth Franco,1989-07-02,False,832.292.4013x812,82480.02
David Wright,1995-01-11,True,(969)649-7913x32478,83639.08
Candace Rosales,1977-12-25,True,173-599-4194,108223.96
